elo_rank,name,age,elo_overall,hard_rank,elo_hard,clay_rank,elo_clay,grass_rank,elo_grass,peak_elo,wta_rank
1,Aryna Sabalenka,27.6,2222,1,2176,1,2130,1,1988,2222,1
2,Elena Rybakina,26.5,2124,2,2084,4,1987,3,1896,2156,5
3,Iga Swiatek,24.5,2119,3,2061,3,2059,2,1955,2291,2
4,Coco Gauff,21.8,2105,4,2050,2,2060,5,1858,2156,3
5,Amanda Anisimova,24.3,2064,5,2015,10,1869,4,1893,2087,4
6,Jessica Pegula,31.8,2036,6,1997,9,1880,6,1848,2095,6
7,Jasmine Paolini,29.9,2013,9,1954,5,1944,8,1816,2058,8
8,Belinda Bencic,28.8,2001,8,1959,24,1798,11,1797,2100,10
9,Mirra Andreeva,18.7,1999,7,1978,7,1927,14,1778,2159,7
10,Elina Svitolina,31.3,1994,13,1925,6,1928,10,1798,2121,12
11,Karolina Muchova,29.3,1981,10,1953,18,1814,24,1737,2029,19
12,Victoria Mboko,19.3,1978,11,1938,16,1816,39,1703,1997,16
13,Madison Keys,30.9,1967,14,1919,8,1887,12,1782,2090,9
14,Marta Kostyuk,23.5,1956,12,1928,12,1847,45,1687,1986,20
15,Marketa Vondrousova,26.5,1937,19,1856,21,1803,7,1821,2062,34
16,Linda Noskova,21.1,1933,15,1892,41,1754,15,1769,1960,13
17,Ekaterina Alexandrova,31.1,1929,17,1870,14,1825,9,1801,1977,11
18,Naomi Osaka,28.2,1928,16,1886,23,1801,29,1719,2193,17
19,Elise Mertens,30.1,1905,23,1847,13,1826,17,1761,2043,21
20,Tereza Valentova,18.8,1902,18,1863,17,1815,53,1670,1940,54
21,Anna Kalinskaya,27.1,1896,20,1853,39,1755,26,1729,1949,33
22,Qinwen Zheng,22.9,1890,25,1840,11,1850,63,1653,2098,25
23,Diana Shnaider,21.7,1888,24,1844,15,1819,22,1738,1976,22
24,Leylah Fernandez,23.3,1882,21,1852,63,1714,31,1713,1977,23
25,Victoria Azarenka,36.0,1875,26,1839,31,1769,27,1720,2312,148
26,Sorana Cirstea,35.7,1874,22,1852,46,1747,69,1642,1928,41
27,Liudmila Samsonova,27.1,1871,33,1803,25,1792,13,1780,1984,18
28,Eva Lys,23.9,1870,27,1831,45,1748,60,1657,1896,39
29,Iva Jovic,18.1,1862,41,1782,64,1714,19,1745,1888,27
30,Emma Navarro,24.6,1860,32,1806,29,1772,16,1763,2003,15
31,Katerina Siniakova,29.6,1859,31,1814,58,1722,20,1741,1950,45
32,Barbora Krejcikova,30.0,1858,28,1822,81,1680,18,1756,2054,58
33,Mccartney Kessler,26.5,1848,29,1821,115,1618,25,1737,1933,37
34,Emma Raducanu,23.1,1845,35,1796,32,1766,30,1713,1998,29
35,Danielle Collins,31.6,1844,48,1772,19,1809,49,1680,2061,67
36,Clara Tauson,23.0,1843,37,1792,43,1750,44,1688,1949,14
37,Marie Bouzkova,27.4,1841,34,1799,35,1762,56,1668,1958,44
38,Janice Tjen,23.6,1838,30,1814,89,1669,55,1669,1898,59
39,Veronika Kudermetova,28.4,1836,40,1786,34,1765,35,1710,1981,32
40,Dayana Yastremska,25.6,1835,50,1770,36,1760,33,1710,1978,28
41,Maya Joint,19.7,1835,43,1780,33,1766,32,1711,1889,31
42,Anastasia Pavlyuchenkova,34.5,1832,38,1791,52,1740,36,1707,2058,47
43,Olga Danilovic,24.9,1831,62,1738,22,1802,67,1646,1884,69
44,Anastasia Potapova,24.7,1827,49,1771,27,1789,59,1660,1920,55
45,Taylor Townsend,29.4,1825,36,1795,61,1719,79,1622,1850,116
46,Maria Sakkari,30.4,1824,39,1786,28,1782,58,1661,2068,53
47,Elisabetta Cocciaretto,24.9,1820,70,1721,51,1742,40,1702,1854,56
48,Sonay Kartal,24.1,1820,46,1774,144,1575,37,1704,1830,66
49,Ons Jabeur,30.8,1818,42,1781,47,1745,41,1692,2110,108
50,Jaqueline Cristian,27.6,1817,45,1775,42,1751,173,1492,1833,35
51,Lois Boisson,22.3,1811,141,1610,20,1807,117,1558,1855,36
52,Paula Badosa,28.1,1809,47,1773,59,1721,62,1655,2078,26
53,Lulu Sun,24.5,1808,44,1779,128,1606,61,1656,1832,86
54,Daria Kasatkina,28.6,1808,51,1765,30,1770,34,1710,2036,43
55,Xin Yu Wang,24.2,1804,55,1745,88,1673,23,1737,1854,46
56,Jelena Ostapenko,28.5,1799,61,1739,26,1791,21,1739,2030,24
57,Magda Linette,33.9,1796,59,1740,44,1748,78,1624,1867,50
58,Sofia Kenin,27.1,1795,57,1741,48,1744,70,1642,2057,30
59,Ann Li,25.5,1794,53,1746,65,1714,111,1566,1894,38
60,Yulia Putintseva,31.0,1788,56,1744,50,1743,65,1651,1933,94
61,Katie Boulter,29.4,1787,58,1741,74,1698,28,1719,1894,113
62,Magdalena Frech,28.0,1787,60,1739,68,1705,91,1598,1846,57
63,Jessica Bouzas Maneiro,23.3,1783,63,1731,56,1728,57,1665,1857,40
64,Caroline Garcia,31.8,1782,54,1745,53,1739,38,1704,2045,307
65,Caty Mcnally,24.1,1779,77,1713,66,1707,43,1689,1806,85
66,Alexandra Eala,20.6,1776,66,1724,162,1554,42,1689,1804,49
67,Laura Siegemund,37.8,1776,65,1728,87,1675,54,1669,1918,48
68,Irina Camelia Begu,34.8,1775,85,1689,38,1756,85,1612,1931,147
69,Viktorija Golubic,33.2,1774,52,1748,119,1613,73,1637,1836,83
70,Ajla Tomljanovic,32.6,1773,68,1722,75,1697,48,1684,1908,78
71,Sara Bejlek,19.9,1772,108,1657,37,1758,168,1496,1816,89
