date,tournament,surface,round,winner,loser,b365_winner_odds,b365_loser_odds,model_winner_prob,model_winner_odds,model_loser_odds,model_pick,model_pick_prob,model_pick_odds,b365_pick_odds,clv_pick,model_correct,pick_won
2024-12-29,ASB Classic,Hard,1st Round,Tauson C.,Stefanini L.,1.5,2.63,0.73,1.36986301369863,3.7037037037037033,Tauson C.,0.73,1.36986301369863,1.5,6.333333333333336,True,True
2024-12-30,ASB Classic,Hard,1st Round,Marino R.,Sun L.,1.91,1.91,0.496,2.0161290322580645,1.9841269841269842,Sun L.,0.504,1.9841269841269842,1.91,-1.9560209424083763,False,False
2024-12-30,ASB Classic,Hard,1st Round,Pera B.,Jimenez Kasintseva V.,1.57,2.38,0.527,1.8975332068311195,2.1141649048625792,Pera B.,0.527,1.8975332068311195,1.57,-10.99426751592356,True,True
2024-12-31,ASB Classic,Hard,1st Round,Keys M.,Bronzetti L.,1.2,4.5,0.684,1.461988304093567,3.1645569620253164,Keys M.,0.684,1.461988304093567,1.2,-14.933333333333332,True,True
2024-12-31,ASB Classic,Hard,1st Round,Parks A.,Anisimova A.,3.4,1.33,0.192,5.208333333333333,1.2376237623762376,Anisimova A.,0.8079999999999999,1.2376237623762376,1.33,5.612030075187969,False,False
2024-12-31,ASB Classic,Hard,2nd Round,Pera B.,Marino R.,1.8,2.0,0.42100000000000004,2.375296912114014,1.7271157167530227,Marino R.,0.579,1.7271157167530227,2.0,7.899999999999996,False,False
2025-01-01,ASB Classic,Hard,2nd Round,Osaka N.,Grabher J.,1.04,13.0,0.899,1.1123470522803114,9.900990099009901,Osaka N.,0.899,1.1123470522803114,1.04,-6.253846153846143,True,True
2025-01-01,ASB Classic,Hard,2nd Round,Tauson C.,Kenin S.,1.67,2.2,0.607,1.6474464579901154,2.544529262086514,Tauson C.,0.607,1.6474464579901154,1.67,0.8197604790419089,True,True
2025-01-01,ASB Classic,Hard,2nd Round,Volynets K.,Li A.,1.73,2.1,0.47600000000000003,2.1008403361344534,1.9083969465648853,Li A.,0.524,1.9083969465648853,2.1,4.780952380952385,False,False
2025-01-02,ASB Classic,Hard,2nd Round,Keys M.,Cristian J.,1.14,5.5,0.65,1.5384615384615383,2.857142857142857,Keys M.,0.65,1.5384615384615383,1.14,-22.719298245614038,True,True
2025-01-02,ASB Classic,Hard,2nd Round,Montgomery R.,Hibino N.,1.73,2.1,0.537,1.8621973929236497,2.1598272138228944,Montgomery R.,0.537,1.8621973929236497,1.73,-4.103468208092487,True,True
2025-01-02,ASB Classic,Hard,2nd Round,Parks A.,Minnen G.,1.91,1.91,0.36700000000000005,2.7247956403269753,1.5797788309636651,Minnen G.,0.633,1.5797788309636651,1.91,10.943979057591624,False,False
2025-01-02,ASB Classic,Hard,Quarterfinals,Montgomery R.,Pera B.,2.1,1.73,0.57,1.7543859649122808,2.3255813953488373,Montgomery R.,0.57,1.7543859649122808,2.1,9.38095238095238,True,True
2025-01-03,ASB Classic,Hard,Quarterfinals,Osaka N.,Baptiste H.,1.22,4.0,0.7140000000000001,1.4005602240896358,3.4965034965034962,Osaka N.,0.7140000000000001,1.4005602240896358,1.22,-10.567213114754093,True,True
2025-01-03,ASB Classic,Hard,Quarterfinals,Tauson C.,Keys M.,3.2,1.36,0.46,2.1739130434782608,1.8518518518518516,Keys M.,0.54,1.8518518518518516,1.36,-19.529411764705873,False,False
2025-01-03,ASB Classic,Hard,Quarterfinals,Parks A.,Volynets K.,2.0,1.8,0.33399999999999996,2.9940119760479047,1.5015015015015016,Volynets K.,0.6659999999999999,1.5015015015015016,1.8,11.044444444444434,False,False
2025-01-04,ASB Classic,Hard,Semifinals,Tauson C.,Montgomery R.,1.44,2.75,0.6459999999999999,1.5479876160990715,2.824858757062147,Tauson C.,0.6459999999999999,1.5479876160990715,1.44,-4.844444444444451,True,True
2025-01-04,ASB Classic,Hard,Semifinals,Osaka N.,Parks A.,1.22,4.33,0.8240000000000001,1.2135922330097086,5.681818181818182,Osaka N.,0.8240000000000001,1.2135922330097086,1.22,0.43278688524590603,True,True
2024-12-29,Brisbane International,Hard,1st Round,Lamens S.,Rakhimova K.,1.8,2.0,0.419,2.3866348448687353,1.721170395869191,Rakhimova K.,0.581,1.721170395869191,2.0,8.099999999999996,False,False
2024-12-29,Brisbane International,Hard,1st Round,Krueger A.,Uchijima M.,1.3,3.5,0.529,1.8903591682419658,2.1231422505307855,Krueger A.,0.529,1.8903591682419658,1.3,-24.023076923076914,True,True
2024-12-29,Brisbane International,Hard,1st Round,Joint M.,Inglis M.,1.67,2.2,0.5579999999999999,1.792114695340502,2.262443438914027,Joint M.,0.5579999999999999,1.792114695340502,1.67,-4.080239520958095,True,True
