date,tournament,surface,round,winner,loser,pin_winner_odds,pin_loser_odds,model_winner_prob,model_winner_odds,model_loser_odds,model_pick,model_pick_prob,model_pick_odds,pin_pick_odds,clv_pick,model_correct,pick_won
2024-12-29,ASB Classic,Hard,1st Round,Tauson C.,Stefanini L.,1.52,2.67,0.745,1.342281879194631,3.9215686274509802,Tauson C.,0.745,1.342281879194631,1.52,8.710526315789469,True,True
2024-12-30,ASB Classic,Hard,1st Round,Marino R.,Sun L.,2.04,1.84,0.47600000000000003,2.1008403361344534,1.9083969465648853,Sun L.,0.524,1.9083969465648853,1.84,-1.9478260869565167,False,False
2024-12-30,ASB Classic,Hard,1st Round,Pera B.,Jimenez Kasintseva V.,1.63,2.39,0.53,1.8867924528301885,2.127659574468085,Pera B.,0.53,1.8867924528301885,1.63,-8.34969325153374,True,True
2024-12-31,ASB Classic,Hard,1st Round,Keys M.,Bronzetti L.,1.22,4.64,0.627,1.594896331738437,2.680965147453083,Keys M.,0.627,1.594896331738437,1.22,-19.2672131147541,True,True
2024-12-31,ASB Classic,Hard,1st Round,Parks A.,Anisimova A.,3.39,1.35,0.214,4.672897196261682,1.272264631043257,Anisimova A.,0.7859999999999999,1.272264631043257,1.35,4.525925925925922,False,False
2024-12-31,ASB Classic,Hard,2nd Round,Pera B.,Marino R.,1.71,2.22,0.426,2.347417840375587,1.7421602787456447,Marino R.,0.574,1.7421602787456447,2.22,12.354954954954955,False,False
2025-01-01,ASB Classic,Hard,2nd Round,Osaka N.,Grabher J.,1.04,15.14,0.907,1.1025358324145533,10.75268817204301,Osaka N.,0.907,1.1025358324145533,1.04,-5.4538461538461425,True,True
2025-01-01,ASB Classic,Hard,2nd Round,Tauson C.,Kenin S.,1.74,2.19,0.647,1.5455950540958268,2.8328611898017,Tauson C.,0.647,1.5455950540958268,1.74,7.228735632183914,True,True
2025-01-01,ASB Classic,Hard,2nd Round,Volynets K.,Li A.,1.78,2.13,0.447,2.237136465324385,1.8083182640144668,Li A.,0.5529999999999999,1.8083182640144668,2.13,8.351643192488256,False,False
2025-01-02,ASB Classic,Hard,2nd Round,Keys M.,Cristian J.,1.19,5.14,0.622,1.607717041800643,2.645502645502646,Keys M.,0.622,1.607717041800643,1.19,-21.833613445378152,True,True
2025-01-02,ASB Classic,Hard,2nd Round,Montgomery R.,Hibino N.,1.73,2.19,0.542,1.8450184501845017,2.183406113537118,Montgomery R.,0.542,1.8450184501845017,1.73,-3.6034682080924862,True,True
2025-01-02,ASB Classic,Hard,2nd Round,Parks A.,Minnen G.,1.97,1.9,0.40700000000000003,2.457002457002457,1.6863406408094437,Minnen G.,0.593,1.6863406408094437,1.9,6.6684210526315795,False,False
2025-01-02,ASB Classic,Hard,Quarterfinals,Montgomery R.,Pera B.,2.15,1.79,0.5539999999999999,1.8050541516245489,2.242152466367713,Montgomery R.,0.5539999999999999,1.8050541516245489,2.15,8.88837209302325,True,True
2025-01-03,ASB Classic,Hard,Quarterfinals,Osaka N.,Baptiste H.,1.27,4.14,0.703,1.4224751066856332,3.367003367003367,Osaka N.,0.703,1.4224751066856332,1.27,-8.440157480314959,True,True
2025-01-03,ASB Classic,Hard,Quarterfinals,Tauson C.,Keys M.,3.47,1.36,0.479,2.0876826722338206,1.9193857965451055,Keys M.,0.521,1.9193857965451055,1.36,-21.429411764705875,False,False
2025-01-03,ASB Classic,Hard,Quarterfinals,Parks A.,Volynets K.,2.05,1.86,0.35700000000000004,2.8011204481792715,1.5552099533437014,Volynets K.,0.643,1.5552099533437014,1.86,10.536559139784952,False,False
2025-01-04,ASB Classic,Hard,Semifinals,Tauson C.,Montgomery R.,1.41,3.1,0.662,1.510574018126888,2.958579881656805,Tauson C.,0.662,1.510574018126888,1.41,-4.721985815602836,True,True
2025-01-04,ASB Classic,Hard,Semifinals,Osaka N.,Parks A.,1.23,4.57,0.76,1.3157894736842106,4.166666666666667,Osaka N.,0.76,1.3157894736842106,1.23,-5.300813008130079,True,True
2024-12-29,Brisbane International,Hard,1st Round,Lamens S.,Rakhimova K.,1.87,2.0,0.433,2.3094688221709005,1.763668430335097,Rakhimova K.,0.5670000000000001,1.763668430335097,2.0,6.700000000000006,False,False
2024-12-29,Brisbane International,Hard,1st Round,Krueger A.,Uchijima M.,1.31,3.7,0.515,1.941747572815534,2.061855670103093,Krueger A.,0.515,1.941747572815534,1.31,-24.835877862595414,True,True
2024-12-29,Brisbane International,Hard,1st Round,Joint M.,Inglis M.,1.65,2.34,0.535,1.8691588785046729,2.150537634408602,Joint M.,0.535,1.8691588785046729,1.65,-7.106060606060605,True,True
2024-12-29,Brisbane International,Hard,1st Round,Zarazua R.,Tomova V.,1.72,2.21,0.644,1.5527950310559007,2.8089887640449436,Zarazua R.,0.644,1.5527950310559007,1.72,6.260465116279068,True,True
2024-12-29,Brisbane International,Hard,1st Round,Avanesyan E.,Sramkova R.,2.08,1.81,0.484,2.066115702479339,1.937984496124031,Sramkova R.,0.516,1.937984496124031,1.81,-3.6486187845303886,False,False
2024-12-29,Brisbane International,Hard,1st Round,Blinkova A.,Bejlek S.,2.29,1.68,0.267,3.745318352059925,1.364256480218281,Bejlek S.,0.733,1.364256480218281,1.68,13.776190476190475,False,False
2024-12-29,Brisbane International,Hard,1st Round,Bouzkova M.,Gibson T.,1.23,4.56,0.5429999999999999,1.841620626151013,2.1881838074398248,Bouzkova M.,0.5429999999999999,1.841620626151013,1.23,-27.000813008130088,True,True
2024-12-29,Brisbane International,Hard,1st Round,Kessler M.,Linette M.,2.12,1.78,0.562,1.779359430604982,2.2831050228310503,Kessler M.,0.562,1.779359430604982,2.12,9.030188679245294,True,True
2024-12-30,Brisbane International,Hard,1st Round,Birrell K.,Hon P.,1.99,1.88,0.484,2.066115702479339,1.937984496124031,Hon P.,0.516,1.937984496124031,1.88,-1.5914893617021253,False,False
2024-12-30,Brisbane International,Hard,1st Round,Stearns P.,Kudermetova V.,1.99,1.88,0.414,2.4154589371980677,1.7064846416382253,Kudermetova V.,0.586,1.7064846416382253,1.88,5.408510638297869,False,False
2024-12-30,Brisbane International,Hard,1st Round,Yuan Y.,Rus A.,1.6,2.44,0.648,1.5432098765432098,2.840909090909091,Yuan Y.,0.648,1.5432098765432098,1.6,2.300000000000002,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Avanesyan E.,Badosa P.,3.88,1.29,0.41600000000000004,2.4038461538461537,1.7123287671232879,Badosa P.,0.584,1.7123287671232879,1.29,-19.119379844961237,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Putintseva Y.,Kessler M.,1.44,2.93,0.45,2.2222222222222223,1.8181818181818181,Kessler M.,0.55,1.8181818181818181,2.93,20.870307167235502,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Krueger A.,Kalinskaya A.,2.36,1.64,0.36,2.7777777777777777,1.5625,Kalinskaya A.,0.64,1.5625,1.64,3.0243902439024417,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Sabalenka A.,Zarazua R.,1.04,15.53,0.7509999999999999,1.3315579227696406,4.016064257028113,Sabalenka A.,0.7509999999999999,1.3315579227696406,1.04,-21.053846153846155,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Andreeva M.,Blinkova A.,1.24,4.46,0.8320000000000001,1.2019230769230769,5.952380952380952,Andreeva M.,0.8320000000000001,1.2019230769230769,1.24,2.5548387096774205,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Bouzkova M.,Ostapenko J.,1.58,2.49,0.613,1.6313213703099512,2.5839793281653747,Bouzkova M.,0.613,1.6313213703099512,1.58,-1.9911392405063233,True,True
