winner,loser,surface,actual_total,model_total,model_std,model_prob,error,abs_error
Tauson C.,Stefanini L.,Hard,17,23.9,5.7,0.762,6.899999999999999,6.899999999999999
Marino R.,Sun L.,Hard,27,24.2,5.9,0.48200000000000004,-2.8000000000000007,2.8000000000000007
Pera B.,Jimenez Kasintseva V.,Hard,20,24.2,5.6,0.546,4.199999999999999,4.199999999999999
Keys M.,Bronzetti L.,Hard,20,24.1,5.6,0.647,4.100000000000001,4.100000000000001
Parks A.,Anisimova A.,Hard,25,23.7,5.8,0.21600000000000003,-1.3000000000000007,1.3000000000000007
Pera B.,Marino R.,Hard,23,24.2,5.7,0.43700000000000006,1.1999999999999993,1.1999999999999993
Osaka N.,Grabher J.,Hard,21,21.9,5.8,0.892,0.8999999999999986,0.8999999999999986
Tauson C.,Kenin S.,Hard,36,24.1,5.9,0.643,-11.899999999999999,11.899999999999999
Volynets K.,Li A.,Hard,19,24.5,5.9,0.445,5.5,5.5
Keys M.,Cristian J.,Hard,15,24.4,5.8,0.648,9.399999999999999,9.399999999999999
Montgomery R.,Hibino N.,Hard,16,23.8,5.7,0.569,7.800000000000001,7.800000000000001
Parks A.,Minnen G.,Hard,21,23.6,5.5,0.38799999999999996,2.6000000000000014,2.6000000000000014
Montgomery R.,Pera B.,Hard,20,24.5,5.9,0.5489999999999999,4.5,4.5
Osaka N.,Baptiste H.,Hard,28,24.7,6.2,0.701,-3.3000000000000007,3.3000000000000007
Tauson C.,Keys M.,Hard,23,24.1,5.8,0.488,1.1000000000000014,1.1000000000000014
Parks A.,Volynets K.,Hard,17,23.9,6.0,0.36200000000000004,6.899999999999999,6.899999999999999
Tauson C.,Montgomery R.,Hard,19,24.4,5.8,0.648,5.399999999999999,5.399999999999999
Osaka N.,Parks A.,Hard,18,23.7,5.9,0.7909999999999999,5.699999999999999,5.699999999999999
Lamens S.,Rakhimova K.,Hard,18,24.5,5.8,0.42700000000000005,6.5,6.5
Krueger A.,Uchijima M.,Hard,25,24.4,5.9,0.5329999999999999,-0.6000000000000014,0.6000000000000014
Joint M.,Inglis M.,Hard,19,24.4,5.7,0.5579999999999999,5.399999999999999,5.399999999999999
Zarazua R.,Tomova V.,Hard,15,23.4,5.8,0.662,8.399999999999999,8.399999999999999
Avanesyan E.,Sramkova R.,Hard,23,24.3,5.6,0.49,1.3000000000000007,1.3000000000000007
Blinkova A.,Bejlek S.,Hard,20,23.3,5.9,0.289,3.3000000000000007,3.3000000000000007
Bouzkova M.,Gibson T.,Hard,31,24.7,5.5,0.547,-6.300000000000001,6.300000000000001
Kessler M.,Linette M.,Hard,20,24.5,5.7,0.581,4.5,4.5
Birrell K.,Hon P.,Hard,29,23.8,5.6,0.485,-5.199999999999999,5.199999999999999
Stearns P.,Kudermetova V.,Hard,17,24.6,5.7,0.43200000000000005,7.600000000000001,7.600000000000001
Yuan Y.,Rus A.,Hard,18,24.3,5.7,0.645,6.300000000000001,6.300000000000001
Avanesyan E.,Badosa P.,Hard,24,23.8,5.7,0.41600000000000004,-0.1999999999999993,0.1999999999999993
Putintseva Y.,Kessler M.,Hard,20,24.6,5.8,0.466,4.600000000000001,4.600000000000001
Krueger A.,Kalinskaya A.,Hard,18,24.0,5.7,0.336,6.0,6.0
Sabalenka A.,Zarazua R.,Hard,16,24.9,6.0,0.7709999999999999,8.899999999999999,8.899999999999999
Andreeva M.,Blinkova A.,Hard,20,22.6,5.7,0.8240000000000001,2.6000000000000014,2.6000000000000014
Bouzkova M.,Ostapenko J.,Hard,23,24.1,5.8,0.625,1.1000000000000014,1.1000000000000014
Jabeur O.,Alexandrova E.,Hard,17,24.4,5.7,0.45399999999999996,7.399999999999999,7.399999999999999
Kalinina A.,Shnaider D.,Hard,26,24.2,5.7,0.33799999999999997,-1.8000000000000007,1.8000000000000007
Birrell K.,Navarro E.,Hard,24,23.4,5.9,0.3,-0.6000000000000014,0.6000000000000014
Kudermetova P.,Samsonova L.,Hard,30,24.3,5.7,0.38799999999999996,-5.699999999999999,5.699999999999999
Kasatkina D.,Stearns P.,Hard,35,24.1,5.7,0.48100000000000004,-10.899999999999999,10.899999999999999
Potapova A.,Yastremska D.,Hard,22,24.1,6.0,0.591,2.1000000000000014,2.1000000000000014
Lamens S.,Frech M.,Hard,21,24.3,5.7,0.366,3.3000000000000007,3.3000000000000007
Yuan Y.,Kostyuk M.,Hard,19,24.1,5.8,0.377,5.100000000000001,5.100000000000001
Azarenka V.,Joint M.,Hard,31,24.0,6.0,0.643,-7.0,7.0
Birrell K.,Potapova A.,Hard,21,24.1,5.5,0.376,3.1000000000000014,3.1000000000000014
Krueger A.,Lamens S.,Hard,18,24.1,5.7,0.545,6.100000000000001,6.100000000000001
Kudermetova P.,Kasatkina D.,Hard,27,24.2,5.9,0.42700000000000005,-2.8000000000000007,2.8000000000000007
Kalinina A.,Yuan Y.,Hard,17,24.1,5.7,0.43700000000000006,7.100000000000001,7.100000000000001
Andreeva M.,Noskova L.,Hard,15,23.1,5.6,0.69,8.100000000000001,8.100000000000001
Jabeur O.,Avanesyan E.,Hard,27,24.4,5.9,0.642,-2.6000000000000014,2.6000000000000014
Bouzkova M.,Azarenka V.,Hard,20,24.1,5.7,0.505,4.100000000000001,4.100000000000001
Sabalenka A.,Putintseva Y.,Hard,23,23.9,5.9,0.7609999999999999,0.8999999999999986,0.8999999999999986
Kalinina A.,Birrell K.,Hard,29,24.2,5.9,0.523,-4.800000000000001,4.800000000000001
Andreeva M.,Jabeur O.,Hard,23,24.0,6.0,0.7040000000000001,1.0,1.0
Kudermetova P.,Krueger A.,Hard,22,24.0,5.7,0.54,2.0,2.0
Sabalenka A.,Bouzkova M.,Hard,19,24.2,5.8,0.7190000000000001,5.199999999999999,5.199999999999999
Kudermetova P.,Kalinina A.,Hard,19,24.0,5.9,0.485,5.0,5.0
Sabalenka A.,Andreeva M.,Hard,17,25.0,5.8,0.5920000000000001,8.0,8.0
Sabalenka A.,Kudermetova P.,Hard,27,23.3,5.8,0.792,-3.6999999999999993,3.6999999999999993
Putintseva Y.,Vekic D.,Hard,17,24.7,5.8,0.526,7.699999999999999,7.699999999999999
Kasatkina D.,Gadecki O.,Hard,17,24.2,5.6,0.5870000000000001,7.199999999999999,7.199999999999999
Vondrousova M.,Pavlyuchenkova A.,Hard,31,23.8,6.2,0.642,-7.199999999999999,7.199999999999999
Badosa P.,Stearns P.,Hard,34,24.3,5.7,0.524,-9.7,9.7
Keys M.,Haddad Maia B.,Hard,15,24.5,5.6,0.647,9.5,9.5
Sakkari M.,Noskova L.,Hard,18,23.7,5.8,0.433,5.699999999999999,5.699999999999999
Samsonova L.,Bouzkova M.,Hard,24,24.0,5.7,0.466,0.0,0.0
Ostapenko J.,Frech M.,Hard,24,24.3,5.8,0.46,0.3000000000000007,0.3000000000000007
Shnaider D.,Siniakova K.,Hard,21,24.6,5.6,0.494,3.6000000000000014,3.6000000000000014
Krueger A.,Kostyuk M.,Hard,26,23.7,5.9,0.23800000000000002,-2.3000000000000007,2.3000000000000007
Jabeur O.,Collins D.,Hard,21,23.3,5.9,0.647,2.3000000000000007,2.3000000000000007
Navarro E.,Alexandrova E.,Hard,23,24.3,5.6,0.504,1.3000000000000007,1.3000000000000007
Pegula J.,Sakkari M.,Hard,17,23.2,5.6,0.7559999999999999,6.199999999999999,6.199999999999999
